"Timestamp","1. Gender","2. Age","3. Where do you live? (District)","4. What's your occupation?","5. What's your Education Level?","6. What's your Monthly income?","7. How did you get to know about mobile banking?","8. How long have you been using mobile banking for?","9. Is your mobile banking service addition to an existing bank account or separate service(Mobile wallet, ex: frimi)?","10. What types of accounts do you have?","11. What kind of operations are you doing using the mobile application?","12.	How often do you use the mobile application to do the above-mentioned tasks","13. How far is the bank branch where you do business (or live)?","14. Do you generally send, receive, or do both send and receive?","15. How do you agree with the following statements? [My mobile banking menu is very easy to navigate]","15. How do you agree with the following statements? [My mobile banking menu is very easy to understand]","15. How do you agree with the following statements? [It is easy to make a payment]","15. How do you agree with the following statements? [It is easy to make transfer money]","15. How do you agree with the following statements? [It is easy to make a balance inquiry]","15. How do you agree with the following statements? [Do you think that you will save time by using a mobile banking application?]","15. How do you agree with the following statements? [Do you think the mobile banking is secure with compared to the physically going to a bank and doing the operations?]","16. What type of features do you think that is relevant to a mobile banking application? [Speed/Performance]","16. What type of features do you think that is relevant to a mobile banking application? [Simplicity]","16. What type of features do you think that is relevant to a mobile banking application? [Security]","16. What type of features do you think that is relevant to a mobile banking application? [Customization]","16. What type of features do you think that is relevant to a mobile banking application? [Social Integration]","16. What type of features do you think that is relevant to a mobile banking application? [Feedback]","16. What type of features do you think that is relevant to a mobile banking application? [cross-platform]","16. What type of features do you think that is relevant to a mobile banking application? [Customer support]","16. What type of features do you think that is relevant to a mobile banking application? [Multiple languages]","16. What type of features do you think that is relevant to a mobile banking application? [More reporting tools (charts, tables, etc..)]","17. How satisfied were you with the current banking application?","18. Do you recommend other users to use mobile banking apps? ","19. What is the main advantage of using mobile banking applications?","20. What are the main drawbacks of using mobile banking applications?","21. How can the mobile banking apps could be improved to fit your needs well?","22. What are your other thoughts on mobile banking? (Not Mandatory)","23. How convenient is this questionnaire for you? (Not Mandatory)"
"2020/11/01 2:23:58 pm GMT+5:30","Male","19 - 30","Gampaha","Private Sector Job","Degree or above","100,000 - 150,000","Friends","One year to five years","Separate","Savings Account","Checking bank balance;Transfer money to the other accounts;Pay utility bills;Fixed deposites","Weekly – Several Times","100m to 1Km","Send and receive","4","4","4","4","4","4","3","Very relevant","Very relevant","Very relevant","Relevant","Not relevant","Relevant","Very relevant","Very relevant","Not relevant","Very relevant","5","YES","Ease of access;24/7 account and service access;Online bill payment;Speed and efficiency;Low fees","Technology issues;Security issues","Keep it Simple;Lightweight and speed","","4"
"2020/11/01 2:44:58 pm GMT+5:30","Male","19 - 30","Kegalle","Private Sector Job","Degree or above","100,000 - 150,000","Bank","Less than a year","An addition","Savings Account","Checking bank balance;Transfer money to the other accounts;Pay utility bills;International payments","Monthly – Several Times","1Km to 5Km","Send and receive","3","3","4","4","4","4","3","Very relevant","Very relevant","Very relevant","No Idea","No Idea","Relevant","Relevant","Relevant","Relevant","Relevant","4","YES","Ease of access;24/7 account and service access;Online bill payment;Speed and efficiency","Security issues;Inconvenient to make deposits","Keep it Simple;Add more features;Lightweight and speed;More value added services;Better User Interface","","2"
"2020/11/01 2:46:13 pm GMT+5:30","Male","19 - 30","Colombo","Private Sector Job","Degree or above","100,000 - 150,000","Bank","One year to five years","An addition","Savings Account;Credit card Account","Checking bank balance;Transfer money to the other accounts;Pay utility bills;International payments","Weekly – Several Times","more than 5Km","Sender","4","3","5","5","4","5","5","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","5","YES","Ease of access;24/7 account and service access;Online bill payment;Speed and efficiency;Low fees","Technology issues","Keep it Simple;Lightweight and speed;Better User Interface","Make things easier","5"
"2020/11/01 2:56:34 pm GMT+5:30","Male","19 - 30","Gampaha","Government Job","Degree or above","50,000 - 100,000","Bank","One year to five years","An addition","Savings Account","Checking bank balance;Transfer money to the other accounts;Pay utility bills","Daily – Several Times","100m to 1Km","Send and receive","4","3","5","5","4","4","4","Very relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","4","YES","Ease of access;24/7 account and service access","Technology issues;Inefficient at complex transactions","Keep it Simple;Add more features","","4"
"2020/11/01 2:56:43 pm GMT+5:30","Female","19 - 30","Colombo","Private Sector Job","Degree or above","100,000 - 150,000","Friends","One year to five years","An addition","Savings Account","Checking bank balance;Transfer money to the other accounts;Pay utility bills;International payments","Weekly – Several Times","100m to 1Km","Send and receive","3","4","4","4","4","4","2","Very relevant","Very relevant","Very relevant","Relevant","Relevant","Relevant","Relevant","Very relevant","Relevant","Relevant","4","YES","Ease of access;24/7 account and service access;Online bill payment;Speed and efficiency;Low fees","Technology issues;Security issues","Keep it Simple;Lightweight and speed;More value added services;Better User Interface","","4"
"2020/11/01 2:57:03 pm GMT+5:30","Male","19 - 30","Colombo","Private Sector Job","Degree or above","200,000+","Self","One year to five years","An addition","Savings Account;Credit card Account;Checking Account","Checking bank balance;Transfer money to the other accounts;Pay utility bills","Weekly – Once","1Km to 5Km","Send and receive","4","4","4","4","5","5","3","Relevant","Relevant","Very relevant","Relevant","Relevant","Not relevant","Very relevant","Relevant","Not relevant","Relevant","4","YES","Ease of access;24/7 account and service access;Online bill payment;Speed and efficiency","Security issues","Lightweight and speed;stability","","5"
"2020/11/01 3:00:26 pm GMT+5:30","Female","19 - 30","Colombo","Student","Degree or above","50,000 - 100,000","Internet or Article","One year to five years","An addition","Savings Account","Checking bank balance;Transfer money to the other accounts;Pay utility bills","Weekly – Several Times","100m to 1Km","Send and receive","N/A","N/A","N/A","N/A","5","N/A","5","Very relevant","Very relevant","Very relevant","Very relevant","Relevant","Relevant","Very relevant","Very relevant","Relevant","Relevant","4","YES","Ease of access;24/7 account and service access;Online bill payment;Speed and efficiency;Low fees","No relationship with personal banker","Add more features;More value added services;Better User Interface","","2"
"2020/11/01 3:01:17 pm GMT+5:30","Male","19 - 30","Colombo","Private Sector Job","Degree or above","100,000 - 150,000","Internet or Article","5 years or more","Separate","Savings Account;Credit card Account;Checking Account;Investment Account;Money Market Account","Checking bank balance;Transfer money to the other accounts;Pay utility bills;Fixed deposites;Investments;International payments;Pension fund management","Daily – Several Times","less than 100m","Send and receive","5","1","3","5","1","1","5","Not relevant","Very relevant","Not relevant","Relevant","Very relevant","Not relevant","Very relevant","Not relevant","Not relevant","Very relevant","3","YES","Ease of access;24/7 account and service access;Online bill payment;Speed and efficiency;Low fees","Technology issues;Security issues;Inefficient at complex transactions;No relationship with personal banker;Inconvenient to make deposits","Keep it Simple;Add more features;Lightweight and speed;More value added services;Better User Interface","","1"
"2020/11/01 3:02:13 pm GMT+5:30","Female","19 - 30","Moneragala","Private Sector Job","Degree or above","100,000 - 150,000","Self","One year to five years","An addition","Savings Account;Credit card Account","Checking bank balance;Transfer money to the other accounts;Pay utility bills","Weekly – Several Times","100m to 1Km","Send and receive","3","1","2","3","1","1","2","Very relevant","Very relevant","Very relevant","Not relevant","Not relevant","Relevant","Very relevant","Very relevant","Relevant","Not relevant","3","May be","Ease of access;24/7 account and service access;Online bill payment;Speed and efficiency","Inconvenient to make deposits","Keep it Simple;Lightweight and speed;Better User Interface","","3"
"2020/11/01 3:04:17 pm GMT+5:30","Female","19 - 30","Kalutara","Government Job","Degree or above","Below 50,000","Friends","One year to five years","An addition","Savings Account","Checking bank balance;Transfer money to the other accounts;Pay utility bills","Weekly – Several Times","1Km to 5Km","Send and receive","4","4","5","5","5","N/A","N/A","Very relevant","Very relevant","Very relevant","Relevant","Relevant","Relevant","No Idea","Relevant","Very relevant","Relevant","4","YES","24/7 account and service access","Technology issues","Add more features;Better User Interface","","4"
"2020/11/01 3:40:16 pm GMT+5:30","Male","19 - 30","Colombo","Student","A/L","Below 50,000","Bank","One year to five years","An addition","Savings Account","Checking bank balance","Weekly – Several Times","more than 5Km","Receiver","4","5","N/A","N/A","5","5","5","Very relevant","Very relevant","Very relevant","Very relevant","No Idea","Relevant","No Idea","Relevant","Not relevant","Relevant","3","YES","Ease of access","Technology issues","Add more features;Better User Interface","","5"
"2020/11/01 3:46:57 pm GMT+5:30","Male","19 - 30","Kalutara","Private Sector Job","Degree or above","50,000 - 100,000","Advertisement","One year to five years","An addition","Savings Account;Investment Account","Checking bank balance;Transfer money to the other accounts;Pay utility bills;International payments","Weekly – Several Times","1Km to 5Km","Send and receive","4","4","4","4","3","4","4","Very relevant","No Idea","No Idea","Relevant","Relevant","Very relevant","No Idea","No Idea","Relevant","No Idea","5","YES","Ease of access;24/7 account and service access;Online bill payment;Speed and efficiency","Technology issues;Inefficient at complex transactions","Keep it Simple;Add more features;Lightweight and speed;More value added services;Better User Interface","","4"
"2020/11/01 4:22:59 pm GMT+5:30","Female","19 - 30","Kalutara","Private Sector Job","Degree or above","100,000 - 150,000","Bank","One year to five years","An addition","Savings Account","Checking bank balance;Transfer money to the other accounts;Pay utility bills;Fixed deposites;International payments","Weekly – Once","more than 5Km","Send and receive","3","3","4","4","4","5","4","Relevant","Very relevant","Very relevant","Very relevant","Relevant","Very relevant","Very relevant","Very relevant","Relevant","Relevant","3","YES","Ease of access;24/7 account and service access;Online bill payment;Speed and efficiency","Technology issues;Inefficient at complex transactions;No relationship with personal banker","Keep it Simple;Add more features;Lightweight and speed;More value added services;Better User Interface","Regarding the question 15, i may have rated all the things 3,4 hence after using the app for several years I'm used to it now. But in the beginning it was really hard to find features due to the not user friendly UI and the complexity of the terms they have used in the menu items. Therefore even if I can easily perform those day to day things easier, still it's a struggle to find new features. ","5"
"2020/11/01 4:52:21 pm GMT+5:30","Male","19 - 30","Kalutara","Private Sector Job","Degree or above","200,000+","Self","One year to five years","Both","Savings Account;Credit card Account","Checking bank balance;Transfer money to the other accounts;Pay utility bills;International payments","Daily – Several Times","1Km to 5Km","Send and receive","3","3","3","4","5","5","3","Very relevant","Very relevant","Very relevant","Relevant","Not relevant","Relevant","Very relevant","Very relevant","Relevant","Relevant","4","YES","Ease of access;24/7 account and service access;Online bill payment;Speed and efficiency;Low fees","Technology issues;Security issues","Keep it Simple;Lightweight and speed;Better User Interface","",""
"2020/11/01 5:09:49 pm GMT+5:30","Male","30 - 40","Colombo","Private Sector Job","Degree or above","50,000 - 100,000","Internet or Article","Less than a year","An addition","Savings Account","Checking bank balance;Transfer money to the other accounts;Pay utility bills;Credit card payments ","Weekly – Several Times","1Km to 5Km","Send and receive","4","4","4","3","5","5","4","Very relevant","Very relevant","Very relevant","Relevant","No Idea","Relevant","Very relevant","Very relevant","Very relevant","No Idea","4","YES","Ease of access;24/7 account and service access;Online bill payment;Speed and efficiency;Low fees","Technology issues;Security issues;Inefficient at complex transactions","Keep it Simple;Lightweight and speed;More value added services;Better User Interface","","4"
"2020/11/01 5:17:11 pm GMT+5:30","Male","19 - 30","Colombo","Private Sector Job","Diploma","50,000 - 100,000","Self","5 years or more","Separate","Savings Account;Credit card Account","Checking bank balance;Transfer money to the other accounts;Pay utility bills;Fixed deposites;Investments;International payments","Weekly – Several Times","1Km to 5Km","Send and receive","4","4","4","4","4","4","4","Very relevant","Very relevant","Very relevant","No Idea","Very relevant","Very relevant","Very relevant","Very relevant","Very relevant","Very relevant","5","YES","Ease of access;24/7 account and service access;Online bill payment;Speed and efficiency","Technology issues","Keep it Simple;Add more features;Lightweight and speed;More value added services","","5"
"2020/11/01 8:22:53 pm GMT+5:30","Male","19 - 30","Colombo","Private Sector Job","Degree or above","150,000 to 200,000","Bank","One year to five years","An addition","Savings Account;Investment Account","Checking bank balance;Transfer money to the other accounts;Pay utility bills;International payments","Weekly – Several Times","1Km to 5Km","Send and receive","3","3","2","2","3","4","3","Very relevant","Very relevant","Very relevant","Relevant","Not relevant","Relevant","Relevant","Very relevant","Very relevant","Very relevant","4","YES","Ease of access;24/7 account and service access;Online bill payment;Speed and efficiency","Technology issues;Security issues;Inconvenient to make deposits","Keep it Simple;Lightweight and speed;More value added services;Better User Interface","","5"
"2020/11/01 9:37:50 pm GMT+5:30","Female","30 - 40","Colombo","Government Job","Degree or above","Below 50,000","Bank","One year to five years","An addition","Savings Account","Checking bank balance;Transfer money to the other accounts;Pay utility bills","Monthly – Several Times","1Km to 5Km","Sender","5","4","5","5","5","5","4","Very relevant","Very relevant","Very relevant","Not relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Not relevant","4","YES","Ease of access;24/7 account and service access;Online bill payment;Speed and efficiency","Inconvenient to make deposits","More value added services","","4"
"2020/11/01 10:18:59 pm GMT+5:30","Male","19 - 30","Colombo","Private Sector Job","Degree or above","100,000 - 150,000","Bank","One year to five years","Separate","Savings Account","Checking bank balance;Transfer money to the other accounts","Weekly – Several Times","1Km to 5Km","Send and receive","5","5","5","4","3","5","Not Relevant","Very relevant","Very relevant","Very relevant","Relevant","Not relevant","Very relevant","Very relevant","Very relevant","Very relevant","Relevant","4","YES","Ease of access;24/7 account and service access;Speed and efficiency","Security issues","Keep it Simple","Prefer a more colorful interface","5"
"2020/11/01 10:26:41 pm GMT+5:30","Male","19 - 30","Colombo","Private Sector Job","Degree or above","100,000 - 150,000","Bank","One year to five years","An addition","Savings Account","Checking bank balance;Transfer money to the other accounts","Monthly – Several Times","more than 5Km","Send and receive","3","4","4","4","4","5","3","Very relevant","Very relevant","Very relevant","Relevant","No Idea","Relevant","No Idea","Very relevant","Relevant","Relevant","4","May be","Ease of access;24/7 account and service access;Speed and efficiency","Technology issues;Security issues","Keep it Simple;Lightweight and speed;More value added services;Better User Interface;Provide dash boards or graphical representations to analyse the transactions ","","5"
"2020/11/01 11:08:19 pm GMT+5:30","Male","19 - 30","Colombo","Self-Employed","Degree or above","Below 50,000","Bank","One year to five years","Separate","Savings Account","Checking bank balance;Transfer money to the other accounts;International payments","Monthly – Several Times","less than 100m","Sender","4","3","5","5","5","5","5","Very relevant","Very relevant","Very relevant","Very relevant","Very relevant","Not relevant","Relevant","Very relevant","Very relevant","Very relevant","5","YES","Ease of access;24/7 account and service access;Speed and efficiency","Technology issues;bank gets a commission in every transaction","Keep it Simple;Better User Interface","They need to give it free or they need to stop getting a commission on every transaction ","4"
"2020/11/01 11:35:05 pm GMT+5:30","Female","19 - 30","Colombo","Private Sector Job","Degree or above","100,000 - 150,000","Friends","One year to five years","An addition","Savings Account","Checking bank balance;Transfer money to the other accounts;Pay utility bills","Weekly – Several Times","100m to 1Km","Send and receive","4","4","5","4","5","3","4","Very relevant","Very relevant","Very relevant","Relevant","Relevant","Relevant","Relevant","Very relevant","Relevant","Very relevant","4","YES","Ease of access;24/7 account and service access;Online bill payment;Speed and efficiency","Security issues;Inconvenient to make deposits","Add more features;More value added services","","4"
"2020/11/02 9:28:41 am GMT+5:30","Male","19 - 30","Colombo","Private Sector Job","Degree or above","50,000 - 100,000","Advertisement","One year to five years","An addition","Savings Account","Checking bank balance;Transfer money to the other accounts","Monthly – Several Times","1Km to 5Km","Receiver","3","3","3","3","4","5","4","Relevant","Relevant","Very relevant","Relevant","Not relevant","Relevant","Relevant","Very relevant","Very relevant","Relevant","3","YES","Ease of access;24/7 account and service access;Online bill payment;Speed and efficiency;Low fees","Technology issues;Security issues","Better User Interface","","2"
"2020/11/02 10:16:47 am GMT+5:30","Male","19 - 30","Colombo","Private Sector Job","Degree or above","200,000+","Friends","5 years or more","An addition","Savings Account;Credit card Account","Checking bank balance;Transfer money to the other accounts;Pay utility bills;Open Fixed deposits;International payments","Weekly – Several Times","less than 100m","Send and receive","5","4","3","3","4","5","5","Very relevant","Very relevant","Very relevant","Relevant","Not relevant","Very relevant","Very relevant","Very relevant","Relevant","Relevant","5","YES","Ease of access;24/7 account and service access;Online bill payment;Speed and efficiency","Inefficient at complex transactions;No relationship with personal banker","Keep it Simple;Lightweight and speed;Better User Interface","","3"
